hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
bundeskanzler,3,1,1,0,0,1,0,0
grundgesetz,3,0,2,1,0,0,0,0
gedenken,3,0,1,0,2,0,0,0
sicherlich,3,0,3,0,0,0,0,0
impfen,3,0,2,0,1,0,0,0
impfpflicht,3,0,3,0,0,0,0,0
sicher,3,2,0,1,0,0,0,0
böll,3,0,3,0,0,0,0,0
verdienen,3,1,2,0,0,0,0,0
stark,3,0,0,1,2,0,0,0
setzen,3,1,1,1,0,0,0,0
schnelltests,3,0,0,3,0,0,0,0
verschweigen,3,0,3,0,0,0,0,0
deutschen,3,0,3,0,0,0,0,0
schule,3,2,1,0,0,0,0,0
hetze,3,0,2,0,0,0,1,0
heute,3,0,0,0,2,1,0,0
deutlich,3,0,2,0,0,0,1,0
besuchen,3,0,1,0,1,0,1,0
schuld,3,0,3,0,0,0,0,0
beziehungsweise,3,0,1,1,0,0,1,0
betragen,3,0,2,0,0,0,1,0
schlimm,3,0,1,1,0,0,0,1
hochwasser,3,1,2,0,0,0,0,0
usa,3,0,2,0,0,0,1,0
steuergeld,3,0,2,0,1,0,0,0
virus,3,0,1,2,0,0,0,0
schnell,3,0,2,0,0,0,1,0
bewegen,3,0,0,2,0,0,1,0
betrug,3,0,2,1,0,0,0,0
billig,3,2,1,0,0,0,0,0
herz,3,0,2,1,0,0,0,0
buchen,3,0,3,0,0,0,0,0
verstehen,3,1,2,0,0,0,0,0
selbsttests,3,0,0,3,0,0,0,0
der,3,0,2,0,1,0,0,0
halt,3,1,0,1,1,0,0,0
stimmen,3,0,2,0,1,0,0,0
verspielen,3,0,3,0,0,0,0,0
hamburger,3,0,1,2,0,0,0,0
hand,3,0,1,1,1,0,0,0
sed,3,0,3,0,0,0,0,0
blicken,3,0,0,1,0,2,0,0
dieses,3,1,1,1,0,0,0,0
steinmeier,3,0,3,0,0,0,0,0
dieser,3,1,1,1,0,0,0,0
schlagzeile,3,0,1,1,1,0,0,0
schön,3,0,0,2,1,0,0,0
haushalt,3,1,1,1,0,0,0,0
heinrich,3,0,3,0,0,0,0,0
generation,3,1,1,1,0,0,0,0
fdp,3,1,1,0,1,0,0,0
anrichten,3,0,1,1,1,0,0,0
ernsthaft,3,0,3,0,0,0,0,0
akk,3,0,3,0,0,0,0,0
erneuerung,3,1,0,2,0,0,0,0
parlament,3,0,2,0,1,0,0,0
manipulieren,3,0,3,0,0,0,0,0
umfragen,3,1,2,0,0,0,0,0
