,author_id,count,sum,prop,Nachname,Vorname,Fraktion,Twitter-Name,region,"Name, Vorname",Vorname Nachname,handle,party,parltype,person__in_parlperiod,lcasehandle
91,2430137675,714,1,0.0014005602240896359,Wendt,Marian,,,Bund,"Wendt, Marian",,MdbWendt,cducsu,Bund,"[18, 19]",mdbwendt
92,1131092102,1522,2,0.001314060446780552,Haßelmann,Britta,,,Bund,"Haßelmann, Britta",,BriHasselmann,gruene,Bund,"[16, 17, 18, 19]",brihasselmann
93,485751594,781,1,0.0012804097311139564,Trittin,Jürgen,,,Bund,"Trittin, Jürgen",,JTrittin,gruene,Bund,"[14, 15, 16, 17, 18, 19]",jtrittin
94,51752254,791,1,0.0012642225031605564,Kaufmann,Stefan,,,Bund,"Kaufmann, Stefan",,StefanKaufmann,cducsu,Bund,"[17, 18, 19]",stefankaufmann
95,16557497,2399,3,0.0012505210504376823,Domscheit-Berg,Anke,,,Bund,"Domscheit-Berg, Anke",,anked,linke,Bund,[19],anked
96,932931561015730176,4197,5,0.0011913271384322134,Mieruch,Mario,,,Bund,"Mieruch, Mario",,MieruchMario,afd,Bund,[19],mieruchmario
97,569166756,876,1,0.001141552511415525,Paus,Lisa,,,Bund,"Paus, Lisa",,lisapaus,gruene,Bund,"[17, 18, 19]",lisapaus
98,422569574,1794,2,0.0011148272017837235,Föst,Daniel,,,Bund,"Föst, Daniel",,DFoest,fdp,Bund,[19],dfoest
99,16361044,1036,1,0.0009652509652509653,Wanderwitz,Marco,,,Bund,"Wanderwitz, Marco",,wanderwitz,cducsu,Bund,"[15, 16, 17, 18, 19]",wanderwitz
100,28066013,1103,1,0.0009066183136899365,Kipping,Katja,,,Bund,"Kipping, Katja",,katjakipping,linke,Bund,"[16, 17, 18, 19]",katjakipping
101,149299258,1116,1,0.0008960573476702509,Lambsdorff,Alexander,,,Bund,"Lambsdorff, Alexander",,Lambsdorff,fdp,Bund,[19],lambsdorff
102,52024480,2563,2,0.0007803355442840422,Janecek,Dieter,,,Bund,"Janecek, Dieter",,DJanecek,gruene,Bund,"[18, 19]",djanecek
103,1423622834,1302,1,0.0007680491551459293,Esken,Saskia,,,Bund,"Esken, Saskia",,EskenSaskia,spd,Bund,"[18, 19]",eskensaskia
104,2805274855,3231,2,0.0006190034045187249,Felgentreu,Fritz,,,Bund,"Felgentreu, Fritz",,fritzfelgentreu,spd,Bund,"[18, 19]",fritzfelgentreu
105,52119203,1717,1,0.0005824111822947001,Bülow,Marco,,,Bund,"Bülow, Marco",,marcobuelow,spd,Bund,"[15, 16, 17, 18, 19]",marcobuelow
106,14784765,5483,2,0.0003647638154295094,De Masi,Fabio,,,Bund,"De Masi, Fabio",,FabioDeMasi,linke,Bund,[19],fabiodemasi
107,2357675876,94,0,0.0,Holtz,Ottmar,,,Bund,"Holtz, Ottmar",,OWvonHoltz,gruene,Bund,[19],owvonholtz
108,2373251115,3,0,0.0,Müller-Böhm,Roman,,,Bund,"Müller-Böhm, Roman",,muellerboehm,fdp,Bund,[19],muellerboehm
109,2617281050,20,0,0.0,Binding,Lothar,,,Bund,"Binding, Lothar",,Lothar_Binding,spd,Bund,"[14, 15, 16, 17, 18, 19]",lothar_binding
110,1421571306,409,0,0.0,Nord,Thomas,,,Bund,"Nord, Thomas",,NordMdb,linke,Bund,"[17, 18, 19]",nordmdb
111,1399764944,127,0,0.0,Özdemir,Mahmut,,,Bund,"Özdemir, Mahmut",,oezdemir_spd,spd,Bund,"[18, 19]",oezdemir_spd
112,2797812265,784,0,0.0,Bareiß,Thomas,,,Bund,"Bareiß, Thomas",,Thomas_Bareiss,cducsu,Bund,"[16, 17, 18, 19]",thomas_bareiss
113,1370491088,42,0,0.0,Hauptmann,Mark,,,Bund,"Hauptmann, Mark",,MarkHauptmann,cducsu,Bund,"[18, 19]",markhauptmann
114,2814949590,1,0,0.0,Groß,Michael,,,Bund,"Groß, Michael",,michaelgrossmdb,spd,Bund,"[17, 18, 19]",michaelgrossmdb
115,1356753444,8,0,0.0,Schraps,Johannes,,,Bund,"Schraps, Johannes",,jschraps,spd,Bund,[19],jschraps
116,1334019378,5,0,0.0,Stetten,Christian,,,Bund,"Stetten, Christian",,CvStetten,cducsu,Bund,"[15, 16, 17, 18, 19]",cvstetten
117,1294725486,203,0,0.0,Tackmann,Kirsten,,,Bund,"Tackmann, Kirsten",,KirstenTackmann,linke,Bund,"[16, 17, 18, 19]",kirstentackmann
118,1294532364,65,0,0.0,Oßner,Florian,,,Bund,"Oßner, Florian",,Florian_Ossner,cducsu,Bund,"[18, 19]",florian_ossner
119,1286011081,73,0,0.0,Gottschalk,Kay,,,Bund,"Gottschalk, Kay",,KayGottschalk1,afd,Bund,[19],kaygottschalk1
120,1182878557,176,0,0.0,Neu,Alexander S.,,,Bund,"Neu, Alexander S.",,AlexanderSNeu,linke,Bund,"[18, 19]",alexandersneu
121,1117749912,356,0,0.0,Post,Achim,,,Bund,"Post, Achim",,Achim_P,spd,Bund,"[18, 19]",achim_p
122,1117526742,60,0,0.0,Schwartze,Stefan,,,Bund,"Schwartze, Stefan",,s_schwartze,spd,Bund,"[17, 18, 19]",s_schwartze
123,1108382916,269,0,0.0,Theurer,Michael,,,Bund,"Theurer, Michael",,EUTheurer,fdp,Bund,[19],eutheurer
124,1475734592,297,0,0.0,Verlinden,Julia,,,Bund,"Verlinden, Julia",,julia_verlinden,gruene,Bund,"[18, 19]",julia_verlinden
125,2885729417,551,0,0.0,Stein,Peter,,,Bund,"Stein, Peter",,Peter_Stein_CDU,cducsu,Bund,"[18, 19]",peter_stein_cdu
126,1513671236,467,0,0.0,Hirte,Heribert,,,Bund,"Hirte, Heribert",,HHirte,cducsu,Bund,"[18, 19]",hhirte
127,2179010672,212,0,0.0,Baerbock,Annalena,,,Bund,"Baerbock, Annalena",,ABaerbock,gruene,Bund,"[18, 19]",abaerbock
128,2405039875,46,0,0.0,Kemmer,Ronja,,,Bund,"Kemmer, Ronja",,RonjaKemmer,cducsu,Bund,"[18, 19]",ronjakemmer
129,2306519694,118,0,0.0,Tressel,Markus,,,Bund,"Tressel, Markus",,MarkusTressel,gruene,Bund,"[17, 18, 19]",markustressel
130,2443895924,113,0,0.0,Müller,Bettina,,,Bund,"Müller, Bettina",,BetMueller,spd,Bund,"[18, 19]",betmueller
131,2479436480,291,0,0.0,Whittaker,Kai,,,Bund,"Whittaker, Kai",,Kai_Whittaker,cducsu,Bund,"[18, 19]",kai_whittaker
132,2226815116,976,0,0.0,Schwarz,Andreas,,,Bund,"Schwarz, Andreas",,Schwarz_MdB,spd,Bund,"[18, 19]",schwarz_mdb
133,2192588903,94,0,0.0,Erndl,Thomas,,,Bund,"Erndl, Thomas",,TErndl,cducsu,Bund,[19],terndl
134,2521976694,1,0,0.0,Karliczek,Anja,,,Bund,"Karliczek, Anja",,AnjaKarliczek,cducsu,Bund,"[18, 19]",anjakarliczek
135,2596171296,459,0,0.0,Möhring,Cornelia,,,Bund,"Möhring, Cornelia",,Conni_Moehring,linke,Bund,"[17, 18, 19]",conni_moehring
136,1906911697,14,0,0.0,Kühne,Roy,,,Bund,"Kühne, Roy",,Dr_Roy_Kuehne,cducsu,Bund,"[18, 19]",dr_roy_kuehne
137,1872648764,23,0,0.0,Dittmar,Sabine,,,Bund,"Dittmar, Sabine",,dittmarsabine,spd,Bund,"[18, 19]",dittmarsabine
138,1862781722,2,0,0.0,Gehrke,Axel,,,Bund,"Gehrke, Axel",,axelgehrke,afd,Bund,[19],axelgehrke
139,1617177360,351,0,0.0,Christmann,Anna,,,Bund,"Christmann, Anna",,annachristmann,gruene,Bund,[19],annachristmann
140,1530171613,228,0,0.0,Jensen,Gyde,,,Bund,"Jensen, Gyde",,GydeJ,fdp,Bund,[19],gydej
141,1524735194,23,0,0.0,Rüffer,Corinna,,,Bund,"Rüffer, Corinna",,crueffer,gruene,Bund,"[18, 19]",crueffer
142,2837971145,197,0,0.0,Jelpke,Ulla,,,Bund,"Jelpke, Ulla",,UllaJelpke,linke,Bund,"[12, 13, 14, 16, 17, 18, 19]",ullajelpke
143,4164673821,510,0,0.0,Korte,Jan,,,Bund,"Korte, Jan",,jankortemdb,linke,Bund,"[16, 17, 18, 19]",jankortemdb
144,3017602065,30,0,0.0,Katzmarek,Gabriele,,,Bund,"Katzmarek, Gabriele",,GabyKatzmarek,spd,Bund,"[18, 19]",gabykatzmarek
145,916950563815870464,70,0,0.0,Ebbing,Hartmut,,,Bund,"Ebbing, Hartmut",,HartmutEbbing,fdp,Bund,[19],hartmutebbing
146,913358838736310272,86,0,0.0,Seitz,Thomas,,,Bund,"Seitz, Thomas",,Th_Seitz_AfD,afd,Bund,[19],th_seitz_afd
147,910878654535749632,136,0,0.0,Bleck,Andreas,,,Bund,"Bleck, Andreas",,andreasbleckmdb,afd,Bund,[19],andreasbleckmdb
148,904304932257492992,16,0,0.0,Brehm,Sebastian,,,Bund,"Brehm, Sebastian",,Brehm_inNBGNord,cducsu,Bund,[19],brehm_innbgnord
149,881480498043916288,52,0,0.0,Büttner,Matthias,,,Bund,"Büttner, Matthias",,Buettner_MdB,afd,Bund,[19],buettner_mdb
150,874917828436078592,82,0,0.0,Wagner,Daniela,,,Bund,"Wagner, Daniela",,DanyWagner_DA,gruene,Bund,"[17, 19]",danywagner_da
151,872663038805016576,68,0,0.0,Hess,Martin,,,Bund,"Hess, Martin",,Martin_Hess_AfD,afd,Bund,[19],martin_hess_afd
152,867351565757239296,150,0,0.0,Grötsch,Uli,,,Bund,"Grötsch, Uli",,UliGroetsch,spd,Bund,"[18, 19]",uligroetsch
153,861992050358616064,871,0,0.0,Meyer,Christoph,,,Bund,"Meyer, Christoph",,Meyer_FDP,fdp,Bund,[19],meyer_fdp
154,858362895075340288,1121,0,0.0,Weeser,Sandra,,,Bund,"Weeser, Sandra",,sandra_weeser,fdp,Bund,[19],sandra_weeser
155,857906951707127808,449,0,0.0,Brandenburg,Jens,,,Bund,"Brandenburg, Jens",,JBrandenburgFDP,fdp,Bund,[19],jbrandenburgfdp
156,849567328899616768,361,0,0.0,Kessler,Achim,,,Bund,"Kessler, Achim",,AchimKesslerMdB,linke,Bund,[19],achimkesslermdb
