,klima,corona,wahlen,wirtschaft
2021-07-25,13.866666666666667,16.3,9.9,15.9
2021-07-26,14.066666666666666,16.566666666666666,10.133333333333333,15.933333333333334
2021-07-27,14.5,16.866666666666667,9.866666666666667,16.166666666666668
2021-07-28,14.666666666666666,17.066666666666666,10.0,16.533333333333335
2021-07-29,15.0,16.9,9.733333333333333,16.4
2021-07-30,14.533333333333333,17.2,9.666666666666666,15.966666666666667
2021-07-31,13.833333333333334,16.966666666666665,9.566666666666666,16.066666666666666
2021-08-01,13.566666666666666,17.066666666666666,9.266666666666667,15.633333333333333
2021-08-02,13.533333333333333,17.6,9.2,16.033333333333335
2021-08-03,13.966666666666667,17.866666666666667,9.3,16.233333333333334
2021-08-04,14.3,17.733333333333334,9.566666666666666,16.333333333333332
2021-08-05,14.5,17.666666666666668,9.833333333333334,16.133333333333333
2021-08-06,14.933333333333334,17.4,10.2,16.1
2021-08-07,15.266666666666667,17.3,10.166666666666666,15.5
2021-08-08,15.266666666666667,16.933333333333334,10.2,14.966666666666667
2021-08-09,15.866666666666667,17.2,10.333333333333334,15.066666666666666
2021-08-10,16.233333333333334,17.733333333333334,10.133333333333333,15.066666666666666
2021-08-11,16.133333333333333,18.233333333333334,10.4,15.633333333333333
2021-08-12,16.2,18.166666666666668,10.733333333333333,15.033333333333333
2021-08-13,16.066666666666666,18.066666666666666,10.966666666666667,14.766666666666667
2021-08-14,13.966666666666667,18.033333333333335,11.133333333333333,14.6
2021-08-15,13.833333333333334,18.0,11.333333333333334,14.933333333333334
2021-08-16,13.533333333333333,18.166666666666668,11.7,15.133333333333333
2021-08-17,13.633333333333333,18.166666666666668,12.2,15.2
2021-08-18,13.3,18.733333333333334,12.666666666666666,15.633333333333333
2021-08-19,13.4,18.666666666666668,13.033333333333333,15.8
2021-08-20,13.1,18.166666666666668,13.033333333333333,15.7
2021-08-21,12.833333333333334,18.033333333333335,13.533333333333333,15.466666666666667
2021-08-22,13.0,18.2,13.733333333333333,15.733333333333333
2021-08-23,13.1,18.366666666666667,13.933333333333334,16.1
2021-08-24,13.066666666666666,18.266666666666666,14.066666666666666,16.3
2021-08-25,13.4,18.566666666666666,14.166666666666666,16.466666666666665
2021-08-26,13.133333333333333,18.666666666666668,14.433333333333334,17.133333333333333
2021-08-27,13.1,18.433333333333334,14.733333333333333,17.233333333333334
2021-08-28,12.8,17.833333333333332,14.866666666666667,17.033333333333335
2021-08-29,14.633333333333333,17.666666666666668,15.166666666666666,17.933333333333334
2021-08-30,14.933333333333334,17.766666666666666,15.733333333333333,18.2
2021-08-31,15.366666666666667,17.366666666666667,16.333333333333332,19.0
2021-09-01,15.8,17.066666666666666,16.933333333333334,19.266666666666666
2021-09-02,16.033333333333335,17.0,17.5,19.266666666666666
2021-09-03,15.9,16.7,17.4,19.466666666666665
2021-09-04,16.0,16.866666666666667,17.566666666666666,19.266666666666666
2021-09-05,15.9,16.7,17.533333333333335,19.433333333333334
2021-09-06,15.833333333333334,16.8,18.133333333333333,19.9
2021-09-07,17.2,17.166666666666668,19.3,21.433333333333334
2021-09-08,17.2,17.0,19.666666666666668,22.066666666666666
2021-09-09,17.366666666666667,16.233333333333334,20.6,22.766666666666666
2021-09-10,17.666666666666668,15.666666666666666,20.966666666666665,22.866666666666667
2021-09-11,17.433333333333334,15.3,21.066666666666666,22.8
2021-09-12,18.733333333333334,15.633333333333333,21.466666666666665,24.766666666666666
2021-09-13,19.1,15.7,22.133333333333333,25.733333333333334
2021-09-14,19.033333333333335,15.933333333333334,22.766666666666666,26.066666666666666
2021-09-15,19.166666666666668,16.066666666666666,23.8,26.466666666666665
2021-09-16,19.1,16.233333333333334,24.566666666666666,26.933333333333334
2021-09-17,19.0,15.933333333333334,24.933333333333334,26.9
2021-09-18,18.966666666666665,15.7,25.666666666666668,27.233333333333334
2021-09-19,20.3,15.733333333333333,26.766666666666666,28.733333333333334
