hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
70,5,3,0,2,0,0,0,0
sehr,5,4,1,0,0,0,0,0
falsch,5,3,0,1,1,0,0,0
immobilienwirtschaft,5,5,0,0,0,0,0,0
laut,5,1,0,1,0,3,0,0
ökologisch,5,1,0,4,0,0,0,0
september,5,4,0,0,0,1,0,0
spielen,5,0,0,2,2,1,0,0
gute,5,1,1,2,1,0,0,0
bitten,5,3,1,1,0,0,0,0
ohne,5,1,1,3,0,0,0,0
schreiben,5,2,0,0,2,1,0,0
ever,5,5,0,0,0,0,0,0
günstig,5,1,0,4,0,0,0,0
dringen,5,2,0,0,0,3,0,0
thread,5,3,0,1,0,0,1,0
bunt,4,3,0,1,0,0,0,0
