hashtag,total,LINKE,AFD,GRUENE,SPD,FDP,CDUCSU,OTHER
vorstellen,11,5,1,3,0,1,1,0
einrichtung,11,2,0,4,0,1,4,0
miete,11,3,0,5,1,2,0,0
erinnerung,11,3,0,5,1,2,0,0
hart,11,1,2,5,1,2,0,0
dran,11,5,0,5,0,0,1,0
reinickendorf,11,1,1,8,0,1,0,0
linkebpt,11,11,0,0,0,0,0,0
lesen,11,4,0,2,2,1,2,0
dankbar,11,4,1,4,1,0,1,0
100,11,3,1,6,1,0,0,0
fast,11,4,1,5,0,0,1,0
starten,11,3,0,5,1,1,1,0
unterschiedlich,11,5,0,5,1,0,0,0
vergessen,11,2,1,4,1,2,0,1
maske,11,2,5,2,2,0,0,0
unterwegs,11,4,1,4,1,0,1,0
bvg,11,6,1,2,0,0,2,0
holen,11,3,2,5,0,1,0,0
job,11,1,0,7,1,2,0,0
sollen,11,3,0,4,1,3,0,0
finanziell,11,2,3,5,1,0,0,0
beenden,11,3,1,4,0,1,1,1
planen,11,3,0,5,0,2,1,0
unermüdlich,11,0,0,8,1,1,1,0
rechtsstaat,11,1,4,3,2,1,0,0
lieber,10,5,0,5,0,0,0,0
einig,10,4,2,0,2,0,2,0
lg,10,0,0,0,0,0,10,0
situation,10,2,1,5,1,1,0,0
sofort,10,6,0,2,0,1,1,0
drucken,10,6,0,2,2,0,0,0
sinnen,10,1,0,5,1,2,1,0
lt,10,9,0,1,0,0,0,0
nein,10,4,1,2,1,0,2,0
nacht,10,4,0,3,1,2,0,0
darum,10,2,5,1,0,2,0,0
deutsche,10,2,5,2,0,0,1,0
oder,10,4,2,3,0,1,0,0
cool,10,4,0,2,2,0,1,1
thread,10,5,0,5,0,0,0,0
astrazeneca,10,0,0,5,4,1,0,0
